Austria;48 317
Belgium;48 722
Bulgaria;10 345
Croatia;16 169
Cyprus;22 734
Czechia;18 189
Denmark;63 261
Estonia;21 481
Finland;43 193
France;40 135
Germany;44 404
Greece;15 879
Hungary;12 618
Ireland;50 347
Italy;29 951
Latvia;18 707
Lithuania;21 741
Luxembourg;72 247
Malta;27 334
Poland;14 431
Portugal;19 301
Romania;13 000
Slovakia;16 162
Slovenia;28 765
Spain;28 184
Sweden;46 934
